Extension Name,Total LOC,Versioning?,Versioning LOC,Pct Versioning LOC
acl,1803,Yes,10,0.55
aclexplode,164,No,0,0
adaptive_estimator,959,No,0,0
adminpack,589,No,0,0
aggs_for_arrays,2538,No,0,0
aggs_for_vecs,4712,Yes,203,4.31
ajbool,84,No,0,0
amcheck,5042,No,0,0
apacheage,48492,No,0,0
argm,590,Yes,8,1.36
arraymath,916,Yes,12,1.31
auth_delay,76,No,0,0
auto_explain,429,No,0,0
base36,295,Yes,4,1.36
base62,782,Yes,19,2.43
basebackup_to_shell,425,No,0,0
basic_archive,372,No,0,0
bedquilt,0,No,0,0
bgvalidators,0,No,0,0
bignum,851,No,0,0
bitmap_estimator,807,No,0,0
bloom,1737,No,0,0
bool_plperl,30,No,0,0
bson,76168,No,0,0
btree_gin,513,No,0,0
btree_gist,6147,No,0,0
byteamagic,119,No,0,0
cat_tools,0,No,0,0
cert,1217,No,0,0
check_digits,474,No,0,0
check_updates,0,No,0,0
chkpass,175,No,0,0
citext,408,No,0,0
citus,236981,Yes,28650,12.09
clerk_fdw,395,No,0,0
colnames,90,Yes,5,5.56
colors,347,No,0,0
complex,166,No,0,0
config_log,0,No,0,0
constr_name_unif,0,No,0,0
couchdb_fdw,1933,No,0,0
count_distinct,870,No,0,0
count_nulls,0,No,0,0
countnulls,25,No,0,0
country,1140,No,0,0
cryptint,279,Yes,2,0.72
cstore_fdw,6049,Yes,344,5.69
cube,5683,No,0,0
currency,855,Yes,2,0.23
cyanaudit,1309,No,0,0
datafly_anon,0,No,0,0
datasketches,6888,Yes,2,0.03
db2_fdw,7967,Yes,193,2.42
db_info,0,No,0,0
dblink,3094,No,0,0
dbpatch,0,No,0,0
ddlx,0,No,0,0
debversion,0,No,0,0
decoderbufs,1520,Yes,7,0.46
device_type,248,No,0,0
dict_int,116,No,0,0
dict_xsyn,259,No,0,0
dont_drop_db,195,Yes,24,12.31
dsef,0,No,0,0
earthdistance,104,No,0,0
email,256,No,0,0
emaj,0,No,0,0
envvar,36,Yes,2,5.56
explanation,0,No,0,0
extension_drop,0,No,0,0
faker,77,No,0,0
file_fdw,1225,No,0,0
file_fdw_program,1285,No,0,0
file_textarray_fdw,1130,Yes,2,0.18
financial,273,No,0,0
firebird_fdw,8890,Yes,1014,11.41
first_last,0,No,0,0
first_last_agg,43,No,0,0
floatfile,2187,No,0,0
floatvec,1286,No,0,0
foreign_table_exposer,236,No,0,0
format_x,905,No,0,0
fuzzy_logic,0,No,0,0
fuzzystrmatch,2230,No,0,0
fuzzywuzzy,0,No,0,0
generate_date_series,98,No,0,0
geoip,0,No,0,0
geoip2lookup,0,No,0,0
gip,195,No,0,0
git_fdw,966,Yes,94,9.73
h3,2373,No,0,0
h3_postgis,2479,No,0,0
hashtypes,705,No,0,0
hashtypes-aleksabl,747,No,0,0
hexgrid,0,No,0,0
hostname,46,Yes,2,4.35
hstore,4471,No,0,0
hstore_plperl,155,No,0,0
hstore_plpython3u,192,No,0,0
http,1637,Yes,73,4.46
hyperloglog_estimator,881,No,0,0
hypopg,3583,Yes,869,24.25
icu_ext,3593,Yes,105,2.92
iif,24,No,0,0
imcs,15324,Yes,64,0.42
inetrange,68,Yes,4,5.88
intagg,0,No,0,0
intarray,3438,No,0,0
ip4r,8395,Yes,25,0.3
is_jsonb_valid,2673,No,0,0
isn,2441,No,0,0
istore,5538,Yes,19,0.34
italian_codes,0,No,0,0
italian_fts,0,No,0,0
jdbc_fdw,13839,Yes,440,3.18
json_accessors,1461,Yes,4,0.27
json_build,689,Yes,2,0.29
json_enhancements,4094,Yes,2,0.05
json_fdw,4267,Yes,4,0.09
json_utils,0,No,0,0
jsonb_deep_sum,195,No,0,0
jsonb_plperl,296,No,0,0
jsonb_plpython3u,504,No,0,0
jsonbx,1069,No,0,0
jsoncdc,469,No,0,0
jsonschema,937,No,0,0
jsquery,4837,Yes,8,0.17
jx_io,0,No,0,0
kmeans,411,No,0,0
language,521,No,0,0
ldap_fdw,702,Yes,10,1.42
lo,111,No,0,0
lock_pool,0,No,0,0
log_fdw,1086,Yes,19,1.75
log_functions,355,Yes,40,11.27
logerrors,777,Yes,34,4.38
logfmt,440,No,0,0
logical_ddl,333,Yes,8,2.4
login_hook,265,Yes,61,23.02
loglog_estimator,750,No,0,0
lostgis,0,No,0,0
lower_quantile,603,No,0,0
lsm3,1301,Yes,40,3.07
ltree,4372,No,0,0
ltree_plpython3u,60,No,0,0
madlib,48563,No,0,0
mapcode,113,No,0,0
md5hash,252,No,0,0
metagration,0,No,0,0
mimeo,0,No,0,0
mods_since_analyze,36,No,0,0
mongo_fdw,9069,Yes,438,4.83
multicdr_fdw,1662,Yes,113,6.8
multicorn,4173,Yes,560,13.42
mvtbl,0,No,0,0
my_extension,0,No,0,0
mysql_fdw,9418,Yes,1035,10.99
mysqlcompat,0,No,0,0
narugn,0,No,0,0
neo4j-fdw,0,No,0,0
nominatim_fdw,1714,Yes,10,0.58
notify_now,76,No,0,0
oai_fdw,2720,Yes,31,1.14
object_reference,0,No,0,0
odbc_fdw,1251,No,0,0
ogr_fdw,5724,Yes,3239,56.59
old_snapshot,160,No,0,0
openbarter,3255,No,0,0
openssl,282,No,0,0
oracle_fdw,9031,Yes,12,0.13
orafce,22688,Yes,1090,4.8
osm_fdw,1431,No,0,0
otp,0,No,0,0
pageinspect,3470,No,0,0
pair,0,No,0,0
pandapost,144,No,0,0
paradedb,23819,No,0,0
parray_gin,1548,Yes,16,1.03
passwd-fdw,548,Yes,6,1.09
passwordcheck,150,No,0,0
pcsa_estimator,778,No,0,0
permuteseq,331,Yes,34,10.27
pg-json,434,No,0,0
pg2podg,0,No,0,0
pg_acl,0,No,0,0
pg_amqp,5939,No,0,0
pg_auditor,0,No,0,0
pg_background,1132,Yes,59,5.21
pg_bigm,1265,Yes,87,6.88
pg_buffercache,239,No,0,0
pg_bulkload,38628,Yes,3219,8.33
pg_cext,14,No,0,0
pg_collkey,196,No,0,0
pg_cron,4691,Yes,86,1.83
pg_curl,3062,Yes,70,2.29
pg_datatype_password,0,No,0,0
pg_diffix,8366,No,0,0
pg_doc_store,0,No,0,0
pg_doctest,0,No,0,0
pg_extra_time,0,No,0,0
pg_failover_slots,1494,Yes,43,2.88
pg_feedback,525,No,0,0
pg_fkpart,0,No,0,0
pg_freespacemap,42,No,0,0
pg_french_datatypes,0,No,0,0
pg_global_catalog,0,No,0,0
pg_gsl,306,No,0,0
pg_handlebars,115,Yes,2,1.74
pg_hint_plan,6990,No,0,0
pg_html5_email_address,0,No,0,0
pg_htmldoc,371,Yes,23,6.2
pg_icu_parser,259,No,0,0
pg_idx_advisor,3988,Yes,33,0.83
pg_image,603,No,0,0
pg_injection,47,No,0,0
pg_ivm,21260,Yes,316,1.49
pg_jobmon,0,No,0,0
pg_journal,411,Yes,29,7.06
pg_kaboom,677,No,0,0
pg_lambda,0,No,0,0
pg_later,499,No,0,0
pg_libphonenumber,632,No,0,0
pg_log,778,Yes,21,2.7
pg_log_statements,1280,Yes,84,6.56
pg_log_userqueries,1479,Yes,326,22.04
pg_logqueryid,237,Yes,34,14.35
pg_luhn,0,No,0,0
pg_median_utils,488,No,0,0
pg_memorycontext,266,No,0,0
pg_message_queue,0,No,0,0
pg_metricus,69,Yes,3,4.35
pg_migrate,7380,Yes,80,1.08
pg_mockable,0,No,0,0
pg_monitoring,0,No,0,0
pg_mupdf,116,Yes,2,1.72
pg_mustach,199,Yes,2,1.01
pg_natural_sort_order,142,No,0,0
pg_part,0,No,0,0
pg_partman,530,Yes,62,11.7
pg_pathman,26760,Yes,3585,13.4
pg_permission,0,No,0,0
pg_plpgsql_ext,0,No,0,0
pg_plugins,8656,Yes,41,0.47
pg_prewarm,1123,No,0,0
pg_procfs,367,Yes,10,2.72
pg_proctab,1287,Yes,20,1.55
pg_py_ext,0,No,0,0
pg_qualstats,2620,Yes,262,10
pg_query_rewrite,897,Yes,92,10.26
pg_queryid,1065,Yes,2,0.19
pg_querylog,546,Yes,2,0.37
pg_rand_ext,233,No,0,0
pg_readme,0,No,0,0
pg_readonly,589,Yes,34,5.77
pg_repack,5244,Yes,37,0.71
pg_roaringbitmap,22185,No,0,0
pg_role_fkey_trigger_functions,0,No,0,0
pg_rowalesce,0,No,0,0
pg_safer_settings,0,No,0,0
pg_sample_ext,0,No,0,0
pg_sampletolog,559,Yes,68,12.16
pg_sessions,3586,No,0,0
pg_set_acl,421,Yes,57,13.54
pg_set_level,609,Yes,80,13.14
pg_shard,28643,Yes,19993,69.8
pg_show_plans,629,Yes,25,3.97
pg_similarity,5066,Yes,95,1.88
pg_sqlog,0,No,0,0
pg_squeeze,7676,Yes,389,5.07
pg_stat_kcache,1377,Yes,252,18.3
pg_stat_monitor,5126,Yes,1210,23.61
pg_stat_statements,2883,No,0,0
pg_statsd,291,No,0,0
pg_statviz,0,No,0,0
pg_strom,81381,Yes,101,0.12
pg_surgery,417,No,0,0
pg_systat,8273,No,0,0
pg_task,2531,Yes,265,10.47
pg_text_semver,0,No,0,0
pg_thud,0,No,0,0
pg_timeout,347,Yes,15,4.32
pg_tle,5281,Yes,163,3.09
pg_track_settings,0,No,0,0
pg_trgm,5156,No,0,0
pg_utility_trigger_functions,0,No,0,0
pg_uuidv7,98,No,0,0
pg_variables,3904,Yes,169,4.33
pg_visibility,786,No,0,0
pg_wait_sampling,1826,Yes,118,6.46
pg_walinspect,643,No,0,0
pg_wkhtmltopdf,118,Yes,19,16.1
pg_xenophile,0,No,0,0
pg_xnode,18712,Yes,4,0.02
pg_xxhash,6918,No,0,0
pgaudit,2208,No,0,0
pgbson,76168,No,0,0
pgchess,1109,Yes,2,0.18
pgchronos,0,No,0,0
pgcozy,0,No,0,0
pgcrypto,11668,No,0,0
pgdecimal,586,No,0,0
pgdecimal2,984,No,0,0
pgds,628,Yes,36,5.73
pgerror,0,No,0,0
pgespresso,207,Yes,69,33.33
pgextwlist,1235,Yes,4,0.32
pgfincore,1168,Yes,9,0.77
pgjsonrpc,0,No,0,0
pgjwt,0,No,0,0
pglogical,26192,Yes,694,2.65
pgmemento,0,No,0,0
pgmp,3241,Yes,8,0.25
pgmq,1963,No,0,0
pgpyml,0,No,0,0
pgrouting,35894,No,0,0
pgrowlocks,276,No,0,0
pgsentinel,2265,Yes,391,17.26
pgsmtp,0,No,0,0
pgsodium,3899,No,0,0
pgspeck,214,No,0,0
pgsql_tweaks,0,No,0,0
pgstattuple,1634,No,0,0
pgtap,0,No,0,0
pgtelemetry,0,No,0,0
pgtt,2031,Yes,248,12.21
pgvihash,141,No,0,0
pgwaffles,0,No,0,0
pgzint,310,No,0,0
planinstr,109,No,0,0
plparrot,1407,Yes,2,0.14
plpgsql_check,19196,Yes,2955,15.39
plprofiler,2341,Yes,30,1.28
plproxy,5332,Yes,28,0.53
plrust,8473,No,0,0
plv8,30819,Yes,1014,3.29
pmpp,1102,No,0,0
popcount,357,No,0,0
postal,208,Yes,2,0.96
postcode,912,No,0,0
postgis,245474,Yes,11,0
postgres_fdw,14374,No,0,0
postgresql_anonymizer,329,Yes,8,2.43
postgresql_faker,77,No,0,0
postgresql_hll,4214,Yes,332,7.88
powa,701,Yes,207,29.53
prefix,1879,Yes,2,0.11
prioritize,137,No,0,0
probabilistic_counter,798,No,0,0
probabilistic_estimator,798,No,0,0
prometheus_fdw,388,No,0,0
psl,354,No,0,0
qgres,0,No,0,0
quantile,1130,Yes,49,4.34
query_histogram,1290,Yes,44,3.41
query_recorder,872,Yes,57,6.54
range_agg,239,Yes,2,0.84
range_partitioning,0,No,0,0
range_tools,0,No,0,0
range_type_functions,0,No,0,0
rdf_fdw,4611,Yes,49,1.06
rdkit,447861,Yes,55,0.01
redis_fdw,2949,Yes,2,0.07
resetsequence,0,No,0,0
roleman,0,No,0,0
ruid,619,No,0,0
rum,49116,Yes,397,0.81
s3_fdw,1039,No,0,0
safeupdate,63,No,0,0
saio,2283,Yes,4,0.18
salesforce_id,509,Yes,4,0.79
seg,4705,No,0,0
semver,693,Yes,2,0.29
sepgsql,5145,No,0,0
sequential_uuids,203,No,0,0
session_hash_tools,0,No,0,0
session_variable,2032,Yes,2,0.1
set_user,1163,Yes,168,14.45
sha,620,No,0,0
shacrypt,1298,No,0,0
shard_manager,0,No,0,0
shared_ispell,1100,Yes,29,2.64
short_ids,0,No,0,0
slony-i,29849,No,0,0
soundex-function,146,Yes,2,1.37
soundex-operator,158,Yes,2,1.27
soundex-type,156,Yes,2,1.28
spi,1003,No,0,0
sqlite_fdw,13046,Yes,1485,11.38
sslinfo,484,No,0,0
ssn,291,No,0,0
statsd,291,No,0,0
streaming_lag,335,No,0,0
superloglog_counter,778,No,0,0
superloglog_estimator,778,No,0,0
tab_tier,0,No,0,0
table_version,0,No,0,0
tablefunc,1630,No,0,0
tblsize_nolock,251,No,0,0
tcn,180,No,0,0
tds_fdw,7200,Yes,556,7.72
template_fdw,364,Yes,12,3.3
temporal,1472,No,0,0
temporal_tables,1355,Yes,48,3.54
test_decoding,982,No,0,0
test_factory,0,No,0,0
tg_sanity,0,No,0,0
timescaledb,73501,Yes,224,0.3
timeseries,0,No,0,0
timestampandtz,5778,Yes,40,0.69
tinyint,2813,Yes,77,2.74
treasuredata_fdw,6102,Yes,184,3.02
trimmed_aggregates,2829,No,0,0
trunklet,0,No,0,0
trunklet-format,0,No,0,0
tsm_system_rows,340,No,0,0
tsm_system_time,353,No,0,0
tsvector2,6775,Yes,219,3.23
tuplock,116,No,0,0
twitter_fdw,2467,Yes,4,0.16
unaccent,434,No,0,0
unidecode,807,No,0,0
unnest_ordinality,117,Yes,2,1.71
url_encode,291,Yes,4,1.37
user_info,0,No,0,0
uuid-ossp,553,No,0,0
vacuum_utils,0,No,0,0
validadores,0,No,0,0
variant,1397,No,0,0
varint,1581,No,0,0
vector,12728,Yes,266,2.09
vectorize,0,No,0,0
veil2,1603,No,0,0
vops,9344,Yes,357,3.82
wal2json,3064,Yes,574,18.73
weighted_mean,103,No,0,0
weighted_stats,577,No,0,0
wltree,4467,Yes,11,0.25
worker_spark,274,No,0,0
www_fdw,3780,Yes,26,0.69
xml2,1002,No,0,0
zhparser,476,Yes,2,0.42